City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Faanui,PF,76.51,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Lingao,CN,83.3,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
86,Touros,BR,74.55,few clouds,-5.1989,-35.4608,INN NEW HORIZON
89,Labuhan,ID,79.36,clear sky,-6.8844,112.2051,DoubleFAG
91,Eureka,US,74.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
93,San Patricio,US,87.75,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
95,Katsuura,JP,84.0,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
96,Sheridan,US,80.98,clear sky,44.8333,-106.9173,Comfort Inn & Suites
97,Tezu,IN,86.22,scattered clouds,27.9167,96.1667,Circuit House
102,Kapaa,US,82.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
106,Pemberton,CA,89.29,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
108,San Antero,CO,78.98,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
109,Cottonwood,US,75.9,overcast clouds,34.7392,-112.0099,Pines Inn & Suites
110,Bowen,AU,70.97,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
111,North Battleford,CA,78.4,few clouds,52.7834,-108.2847,Tropical Inn
113,Itarema,BR,77.9,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
114,Galle,LK,77.43,overcast clouds,6.0367,80.217,Amangalla
